UniProt_Accession_for_Protein_Group	UniProt_ID_for_Protein_Group	UniProt_Protein_Description	Quantified_Peptides_Experiment_1	Quantified_Peptides_Experiment_1.1	Quantified_PSMs_(Rep_1)_Experiment_1	Quantified_PSMs_(Rep_1)_Experiment_1.1	126	127N	127C	128N	128C	129N	129C	130N	130C	131	126.1	127N.1	127C.1	128N.1	128C.1	129N.1	129C.1	130N.1	130C.1	131.1	phenoDisco_Input	phenoDisco_Output	Curated_phenoDisco_Output	SVM_marker_set	SVM_classification	SVM_score	SVM_classification_(top_quartile)	Final_Localization_Assignment	First_localization_evidence?	Curated_Organelles	Cytoskeletal_Components	Trafficking_Proteins	Protein_Complexes	Signaling_Cascades	Oct4_Interactome	Nanog_Interactome	Sox2_Interactome	Cell_Surface_Proteins	uniprot_id	isoforms	max_fraction	min_difference	mean_expression	length	classified	low_fraction	AS	temp_binary
P09405	NUCL_MOUSE	Nucleolin OS=Mus musculus GN=Ncl PE=1 SV=2 - [NUCL_MOUSE]	45	54	116	166	0.402	0.017	0.042	0.008	0.015	0.025	0.04	0.075	0.297	0.077	0.373	0.019	0.045	0.023	0.027	0.044	0.054	0.041	0.256	0.117	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.55	unclassified	unclassified	N									Non-Specific	P09405	1	1.0		91.0709561835	707	False	False	False	False
Q6ZQ38	CAND1_MOUSE	Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus GN=Cand1 PE=2 SV=2 - [CAND1_MOUSE]	45	39	93	69	0.216	0.129	0.092	0.064	0.093	0.07	0.055	0.127	0.042	0.111	0.204	0.142	0.124	0.113	0.117	0.082	0.05	0.043	0.064	0.061	unknown	unknown	unknown	unknown	Cytosol	0.217	unclassified	unclassified	N										Q6ZQ38	1	1.0		49.069065655	1230	False	False	False	False
Q5FWI3	TMEM2_MOUSE	Transmembrane protein 2 OS=Mus musculus GN=Tmem2 PE=1 SV=1 - [TMEM2_MOUSE]	45	38	84	65	0.0	0.183	0.17	0.119	0.25	0.136	0.056	0.046	0.01	0.029	0.005	0.142	0.125	0.161	0.22	0.172	0.115	0.032	0.02	0.009	unknown	unknown	unknown	unknown	Plasma membrane	0.564	unclassified	unclassified	Y									Non-Specific	Q5FWI3	2	0.622878606487	0.605449263444	21.647692353	1383	False	True	True	False
Q9Z0U1	ZO2_MOUSE	Tight junction protein ZO-2 OS=Mus musculus GN=Tjp2 PE=1 SV=2 - [ZO2_MOUSE]	45	40	81	62	0.058	0.236	0.149	0.1	0.149	0.118	0.058	0.057	0.031	0.044	0.051	0.171	0.123	0.118	0.145	0.148	0.111	0.037	0.039	0.056	unknown	unknown	unknown	unknown	Actin cytoskeleton	0.396	unclassified	unclassified	N										Q9Z0U1	2	0.602180929366	0.660630470403	49.9224335333	1167	False	True	True	False
P51432	PLCB3_MOUSE	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Mus musculus GN=Plcb3 PE=2 SV=2 - [PLCB3_MOUSE]	45	38	65	60	0.011	0.301	0.214	0.134	0.188	0.075	0.027	0.024	0.008	0.018	0.014	0.231	0.183	0.174	0.174	0.112	0.058	0.02	0.022	0.013	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.818	Plasma membrane	Plasma membrane	N									Putative	P51432	1	1.0		32.185181757	1234	True	False	False	False
P26231	CTNA1_MOUSE	Catenin alpha-1 OS=Mus musculus GN=Ctnna1 PE=1 SV=1 - [CTNA1_MOUSE]	44	42	139	144	0.008	0.282	0.188	0.113	0.173	0.119	0.053	0.031	0.009	0.024	0.008	0.186	0.158	0.167	0.176	0.177	0.083	0.027	0.01	0.008	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N				Adherens junction						P26231	1	1.0		61.6724724605	906	True	False	False	False
G5E870	TRIPC_MOUSE	E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus GN=Trip12 PE=1 SV=1 - [TRIPC_MOUSE]	44	50	67	71	0.167	0.088	0.078	0.036	0.058	0.043	0.057	0.163	0.146	0.164	0.145	0.079	0.071	0.067	0.074	0.065	0.075	0.072	0.248	0.104	unknown	unknown	unknown	unknown	60S Ribosome	0.203	unclassified	unclassified	N										G5E870	1	1.0		132.202433128	2025	False	False	False	False
Q6P5D8	SMHD1_MOUSE	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Mus musculus GN=Smchd1 PE=1 SV=2 - [SMHD1_MOUSE]	44	36	52	44	0.052	0.006	0.008	0.0	0.011	0.028	0.072	0.315	0.214	0.295	0.055	0.01	0.016	0.014	0.023	0.05	0.097	0.204	0.372	0.16	unknown	Phenotype 1	Nucleus - Chromatin	Nucleus - Chromatin	Nucleus - Chromatin	1.0	Nucleus - Chromatin	Nucleus - Chromatin	N										Q6P5D8	1	1.0		13.3204612713	2007	True	False	False	False
P38647	GRP75_MOUSE	Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3 - [GRP75_MOUSE]	43	44	114	146	0.0	0.013	0.013	0.011	0.031	0.095	0.288	0.28	0.017	0.253	0.002	0.011	0.014	0.019	0.03	0.103	0.367	0.294	0.021	0.138	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										P38647	1	1.0		233.80810842	679	True	False	False	False
Q9JIK5	DDX21_MOUSE	Nucleolar RNA helicase 2 OS=Mus musculus GN=Ddx21 PE=1 SV=3 - [DDX21_MOUSE]	42	39	93	90	0.154	0.006	0.017	0.005	0.013	0.021	0.056	0.168	0.398	0.164	0.095	0.011	0.022	0.023	0.031	0.036	0.053	0.054	0.434	0.241	unknown	Phenotype 2	Nucleus - Non-chromatin	Nucleus - Non-chromatin	Nucleus - Non-chromatin	1.0	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q9JIK5	1	1.0		158.14615308	851	True	False	False	False
Q64727	VINC_MOUSE	Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4 - [VINC_MOUSE]	42	42	72	61	0.297	0.225	0.157	0.082	0.108	0.063	0.026	0.019	0.009	0.015	0.273	0.145	0.137	0.121	0.139	0.092	0.051	0.016	0.014	0.012	unknown	unknown	unknown	unknown	Cytosol	0.363	unclassified	unclassified	N									High Confidence	Q64727	1	1.0		30.8809489095	1066	False	False	False	False
O08784	TCOF_MOUSE	Treacle protein OS=Mus musculus GN=Tcof1 PE=1 SV=1 - [TCOF_MOUSE]	42	41	71	62	0.239	0.022	0.041	0.012	0.024	0.043	0.079	0.192	0.179	0.169	0.202	0.028	0.075	0.05	0.062	0.053	0.084	0.086	0.258	0.102	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.27	unclassified	unclassified	N										O08784	2	0.532425379172	0.878197469765	33.1815214837	1320	False	True	True	False
Q922D8	C1TC_MOUSE	C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4 - [C1TC_MOUSE]	41	33	93	83	0.151	0.127	0.109	0.053	0.091	0.107	0.062	0.097	0.025	0.177	0.113	0.07	0.086	0.082	0.088	0.115	0.085	0.054	0.031	0.276	unknown	unknown	unknown	unknown	60S Ribosome	0.673	60S Ribosome	60S Ribosome	N										Q922D8	1	1.0		70.310690485	935	True	False	False	False
O70318	E41L2_MOUSE	Band 4.1-like protein 2 OS=Mus musculus GN=Epb41l2 PE=1 SV=2 - [E41L2_MOUSE]	41	42	77	83	0.012	0.299	0.185	0.126	0.176	0.113	0.044	0.026	0.007	0.013	0.007	0.242	0.169	0.167	0.186	0.131	0.069	0.018	0.006	0.006	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.873	Plasma membrane	Plasma membrane	N										O70318	2	0.689817067096	0.449659696316	27.1194748555	988	True	True	True	False
Q9EP71	RAI14_MOUSE	Ankycorbin OS=Mus musculus GN=Rai14 PE=1 SV=1 - [RAI14_MOUSE]	41	48	63	70	0.015	0.178	0.103	0.061	0.093	0.124	0.106	0.153	0.041	0.124	0.016	0.114	0.105	0.103	0.109	0.185	0.15	0.101	0.076	0.042	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.385	unclassified	unclassified	N										Q9EP71	2	0.720977179528	0.387006452346	21.9153199437	979	False	True	True	False
P20029	GRP78_MOUSE	78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3 - [GRP78_MOUSE]	40	41	125	156	0.019	0.054	0.07	0.05	0.129	0.287	0.14	0.136	0.01	0.107	0.02	0.047	0.085	0.124	0.183	0.267	0.161	0.08	0.014	0.019	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										P20029	2	0.817488841077	0.223258287762	329.687914024	655	True	True	True	False
Q62351	TFR1_MOUSE	Transferrin receptor protein 1 OS=Mus musculus GN=Tfrc PE=1 SV=1 - [TFR1_MOUSE]	40	31	99	104	0.0	0.076	0.118	0.121	0.407	0.158	0.056	0.036	0.003	0.026	0.003	0.067	0.093	0.163	0.295	0.233	0.096	0.034	0.007	0.01	unknown	unknown	unknown	unknown	Endosome	0.615	Endosome	Endosome	N										Q62351	1	1.0		150.398916087	763	True	False	False	False
